rule_id,trigger_pattern,candidate_set,select_target_if,reject_target_if,priority,example_pass,example_fail,active
R058,dea,practitionerDea|ssn,header context aligns with practitionerDea semantics,header context aligns with ssn semantics,50,DEA # -> practitionerDea,DEA # -> ssn,true
R059,epsdt,epsdtStatus|epsdtDate,header context aligns with epsdtStatus semantics,header context aligns with epsdtDate semantics,50,EPSDT -> epsdtStatus,EPSDT -> epsdtDate,true
R060,group npi  2,groupPracticeLocationNpi|groupNpi,header context aligns with groupPracticeLocationNpi semantics,header context aligns with groupNpi semantics,50,Group NPI # 2 -> groupPracticeLocationNpi,Group NPI # 2 -> groupNpi,true
R061,license expir date 1,stateLicenseExpirationDate|providerLicenseState,header context aligns with stateLicenseExpirationDate semantics,header context aligns with providerLicenseState semantics,50,License Expir Date 1 -> stateLicenseExpirationDate,License Expir Date 1 -> providerLicenseState,true
R062,next cred date,nextCredentialingDate|cliaCertificateExpirationDate,header context aligns with nextCredentialingDate semantics,header context aligns with cliaCertificateExpirationDate semantics,50,Next Cred Date -> nextCredentialingDate,Next Cred Date -> cliaCertificateExpirationDate,true
R063,practice street address.1,groupPracticeLocationAddressLine2|groupLocationAddressLine1,header context aligns with groupPracticeLocationAddressLine2 semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice Street Address.1 -> groupPracticeLocationAddressLine2,Practice Street Address.1 -> groupLocationAddressLine1,true
R064,primary practice phone,groupPracticeLocationPhone|groupLocationAddressLine1,header context aligns with groupPracticeLocationPhone semantics,header context aligns with groupLocationAddressLine1 semantics,50,Primary Practice Phone -> groupPracticeLocationPhone,Primary Practice Phone -> groupLocationAddressLine1,true
R065,taxonomy 2,practitionerTaxonomy|groupSpecialtyTaxonomy,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,Taxonomy 2 -> practitionerTaxonomy,Taxonomy 2 -> groupSpecialtyTaxonomy,true
R066,hours of operation,practitionerOpenTimeMon|officeHours,header context aligns with practitionerOpenTimeMon semantics,header context aligns with officeHours semantics,50,HOURS OF OPERATION -> practitionerOpenTimeMon,HOURS OF OPERATION -> officeHours,true
R067,ma,medicaidId|udfStateMaxPanel,header context aligns with medicaidId semantics,header context aligns with udfStateMaxPanel semantics,50,MA # -> medicaidId,MA # -> udfStateMaxPanel,true
R068,md lic,stateLicenseNumber|udfStateMaxPanel,header context aligns with stateLicenseNumber semantics,header context aligns with udfStateMaxPanel semantics,50,MD LIC # -> stateLicenseNumber,MD LIC # -> udfStateMaxPanel,true
R069,md lic issue date,initialCredentialingDate|practitionerPrimarySpecialtyBoardCertificationIssueDate,header context aligns with initialCredentialingDate semantics,header context aligns with practitionerPrimarySpecialtyBoardCertificationIssueDate semantics,50,MD LIC Issue Date -> initialCredentialingDate,MD LIC Issue Date -> practitionerPrimarySpecialtyBoardCertificationIssueDate,true
R070,phone number,groupPracticeLocationPhone|acceptingMaximumPatientAge,header context aligns with groupPracticeLocationPhone semantics,header context aligns with acceptingMaximumPatientAge semantics,50,Phone Number -> groupPracticeLocationPhone,Phone Number -> acceptingMaximumPatientAge,true
R071,primary practice location,groupPracticeLocationAddressLine1|groupPracticeLocationPrimaryPracticeLimitation,header context aligns with groupPracticeLocationAddressLine1 semantics,header context aligns with groupPracticeLocationPrimaryPracticeLimitation semantics,50,PRIMARY PRACTICE LOCATION -> groupPracticeLocationAddressLine1,PRIMARY PRACTICE LOCATION -> groupPracticeLocationPrimaryPracticeLimitation,true
R072,reappointment date,lastCredentialingDate|groupPracticeLocationAppointmentPhone,header context aligns with lastCredentialingDate semantics,header context aligns with groupPracticeLocationAppointmentPhone semantics,50,ReAppointment Date -> lastCredentialingDate,ReAppointment Date -> groupPracticeLocationAppointmentPhone,true
R073,state,groupPracticeLocationState|epsdtState,header context aligns with groupPracticeLocationState semantics,header context aligns with epsdtState semantics,50,STATE -> groupPracticeLocationState,STATE -> epsdtState,true
R074,status,practitionerPrimaryHospitalAffiliationStatus|contractStatus,header context aligns with practitionerPrimaryHospitalAffiliationStatus semantics,header context aligns with contractStatus semantics,50,Status -> practitionerPrimaryHospitalAffiliationStatus,Status -> contractStatus,true
R075,tax id,groupTin|acceptingMaximumPatientAge,header context aligns with groupTin semantics,header context aligns with acceptingMaximumPatientAge semantics,50,TAX ID# -> groupTin,TAX ID# -> acceptingMaximumPatientAge,true
R076,title,providerType|title,header context aligns with providerType semantics,header context aligns with title semantics,50,TITLE -> providerType,TITLE -> title,true
R077,year,educationFromDate|primarySpecialtyIssueYear,header context aligns with educationFromDate semantics,header context aligns with primarySpecialtyIssueYear semantics,50,YEAR -> educationFromDate,YEAR -> primarySpecialtyIssueYear,true
R078,zip code,groupPracticeLocationZip|groupLocationZip,header context aligns with groupPracticeLocationZip semantics,header context aligns with groupLocationZip semantics,50,ZIP CODE -> groupPracticeLocationZip,ZIP CODE -> groupLocationZip,true
R079,action/ effective date / change or term reason,pdmTransactionTypeEventDate|practitionerLocationChangeEffectiveDate,header context aligns with pdmTransactionTypeEventDate semantics,header context aligns with practitionerLocationChangeEffectiveDate semantics,50,ACTION/ EFFECTIVE DATE / CHANGE OR TERM REASON -> pdmTransactionTypeEventDate,ACTION/ EFFECTIVE DATE / CHANGE OR TERM REASON -> practitionerLocationChangeEffectiveDate,true
R080,billing fax,groupBillingLocationFax|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,Billing Fax -> groupBillingLocationFax,Billing Fax -> billingGroupName,true
R081,billing zip code,groupBillingLocationZipcode|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,Billing Zip Code -> groupBillingLocationZipcode,Billing Zip Code -> billingGroupName,true
R082,board name 1,practitionerPrimarySpecialtyBoardCertificationName|practitionerPrimarySpecialtyBoardCertificationExpirationDate,header context aligns with practitionerPrimarySpecialtyBoardCertificationName semantics,header context aligns with practitionerPrimarySpecialtyBoardCertificationExpirationDate semantics,50,Board Name 1 -> practitionerPrimarySpecialtyBoardCertificationName,Board Name 1 -> practitionerPrimarySpecialtyBoardCertificationExpirationDate,true
R083,caqh,practitionerCaqhId|practitionerCaqhAttestationDate,header context aligns with practitionerCaqhId semantics,header context aligns with practitionerCaqhAttestationDate semantics,50,CAQH -> practitionerCaqhId,CAQH -> practitionerCaqhAttestationDate,true
R084,county,groupPracticeLocationCounty|groupBillingCounty,billing keyword present in header,no billing keyword; defaults to practice location,50,County -> groupPracticeLocationCounty,County -> groupBillingCounty,true
R085,dba practice name,groupDba|groupLocationAddressLine1,header context aligns with groupDba semantics,header context aligns with groupLocationAddressLine1 semantics,50,DBA Practice Name -> groupDba,DBA Practice Name -> groupLocationAddressLine1,true
R086,dea license 1,practitionerDea|providerLicenseState,header context aligns with practitionerDea semantics,header context aligns with providerLicenseState semantics,50,DEA License 1 -> practitionerDea,DEA License 1 -> providerLicenseState,true
R087,eff date,groupPractitionerEffectiveDate|cliaCertificateExpirationDate,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,EFF DATE -> groupPractitionerEffectiveDate,EFF DATE -> cliaCertificateExpirationDate,true
R088,foreign language,practitionerLanguage|practitionerAdditionalLanguage,header context aligns with practitionerLanguage semantics,header context aligns with practitionerAdditionalLanguage semantics,50,Foreign Language -> practitionerLanguage,Foreign Language -> practitionerAdditionalLanguage,true
R089,gender restrictions,practitionerLocationGenderAccepted|gender,header context aligns with practitionerLocationGenderAccepted semantics,header context aligns with gender semantics,50,Gender Restrictions -> practitionerLocationGenderAccepted,Gender Restrictions -> gender,true
R090,hospital based?   y/n,practitionerRole|isHospitalBased,header context aligns with practitionerRole semantics,header context aligns with isHospitalBased semantics,50,Hospital Based?   Y/N -> practitionerRole,Hospital Based?   Y/N -> isHospitalBased,true
R091,last cred date,lastCredentialingDate|cliaCertificateExpirationDate,header context aligns with lastCredentialingDate semantics,header context aligns with cliaCertificateExpirationDate semantics,50,Last Cred Date -> lastCredentialingDate,Last Cred Date -> cliaCertificateExpirationDate,true
R092,liability coverage amts,practitionerMalpracticeAggregateCoverageAmount|locationCallCoveragePhone,header context aligns with practitionerMalpracticeAggregateCoverageAmount semantics,header context aligns with locationCallCoveragePhone semantics,50,Liability Coverage Amts -> practitionerMalpracticeAggregateCoverageAmount,Liability Coverage Amts -> locationCallCoveragePhone,true
R093,liability effective date,practitionerMalpracticeEffectiveDate|contractEffectiveDate,header context aligns with practitionerMalpracticeEffectiveDate semantics,header context aligns with contractEffectiveDate semantics,50,Liability Effective Date -> practitionerMalpracticeEffectiveDate,Liability Effective Date -> contractEffectiveDate,true
R094,mailing  zip code,groupRemittanceZip|groupLocationZip,header context aligns with groupRemittanceZip semantics,header context aligns with groupLocationZip semantics,50,Mailing  Zip Code -> groupRemittanceZip,Mailing  Zip Code -> groupLocationZip,true
R095,mailing city,groupRemittanceCity|groupBillingCity,billing keyword present in header,no billing keyword; defaults to practice location,50,Mailing City -> groupRemittanceCity,Mailing City -> groupBillingCity,true
R096,mailing state,groupRemittanceState|epsdtState,header context aligns with groupRemittanceState semantics,header context aligns with epsdtState semantics,50,Mailing State -> groupRemittanceState,Mailing State -> epsdtState,true
R097,mailingstreet address,groupRemittanceAddressLine1|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,MailingStreet Address -> groupRemittanceAddressLine1,MailingStreet Address -> billingGroupName,true
R098,pcp spc,practitionerRole|pcp,header context aligns with practitionerRole semantics,header context aligns with pcp semantics,50,PCP SPC -> practitionerRole,PCP SPC -> pcp,true
R099,practice city,groupPracticeLocationCity|groupLocationAddressLine1,header context aligns with groupPracticeLocationCity semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice City -> groupPracticeLocationCity,Practice City -> groupLocationAddressLine1,true
R100,practice fax,groupPracticeLocationFax|groupLocationAddressLine1,header context aligns with groupPracticeLocationFax semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice Fax -> groupPracticeLocationFax,Practice Fax -> groupLocationAddressLine1,true
R101,practice state,groupPracticeLocationState|groupLocationAddressLine1,header context aligns with groupPracticeLocationState semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice State -> groupPracticeLocationState,Practice State -> groupLocationAddressLine1,true
R102,practice street address,groupPracticeLocationAddressLine1|groupLocationAddressLine1,header context aligns with groupPracticeLocationAddressLine1 semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice Street Address -> groupPracticeLocationAddressLine1,Practice Street Address -> groupLocationAddressLine1,true
R103,practice zip code,groupPracticeLocationZip|groupLocationAddressLine1,header context aligns with groupPracticeLocationZip semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice Zip Code -> groupPracticeLocationZip,Practice Zip Code -> groupLocationAddressLine1,true
R104,primary location,groupPractitionerLocationType|acceptingMaximumPatientAge,practitioner roster context; address/phone maps to group practice location,billing/contractee context only,50,Primary Location -> groupPractitionerLocationType,Primary Location -> acceptingMaximumPatientAge,true
R105,primary practice hours,officeHours|groupLocationAddressLine1,header context aligns with officeHours semantics,header context aligns with groupLocationAddressLine1 semantics,50,Primary Practice Hours -> officeHours,Primary Practice Hours -> groupLocationAddressLine1,true
R106,supervising physician's specialty for np/pa,supervisingProviderType|supervisingPractitionerFirstName,header context aligns with supervisingProviderType semantics,header context aligns with supervisingPractitionerFirstName semantics,50,Supervising Physician's Specialty for NP/PA -> supervisingProviderType,Supervising Physician's Specialty for NP/PA -> supervisingPractitionerFirstName,true
R107,type 2 npi,groupNpi|actionType,header context aligns with groupNpi semantics,header context aligns with actionType semantics,50,Type 2 NPI -> groupNpi,Type 2 NPI -> actionType,true
R108,dea expiration,practitionerDeaExpirationDate|cliaCertificateExpirationDate,header context aligns with practitionerDeaExpirationDate semantics,header context aligns with cliaCertificateExpirationDate semantics,50,DEA Expiration -> practitionerDeaExpirationDate,DEA Expiration -> cliaCertificateExpirationDate,true
R109,graduation date mm/yyyy,educationToDate|epsdtDate,header context aligns with educationToDate semantics,header context aligns with epsdtDate semantics,50,Graduation Date mm/yyyy -> educationToDate,Graduation Date mm/yyyy -> epsdtDate,true
R110,mailing address 2,groupRemittanceAddressLine2|billingGroupName,billing keyword present in header,no billing keyword; defaults to practice location,50,Mailing Address 2 -> groupRemittanceAddressLine2,Mailing Address 2 -> billingGroupName,true
R111,practice url,telemedicineURL|groupLocationAddressLine1,header context aligns with telemedicineURL semantics,header context aligns with groupLocationAddressLine1 semantics,50,Practice URL -> telemedicineURL,Practice URL -> groupLocationAddressLine1,true
R112,action|type of change|transaction type,pdmTransactionType|practitionerRole|contracteeLocationType,sample values contain term/add/update/new/terminate — maps to pdmTransactionType,values are MD/DO/NP/PA — that's practitionerRole; values are primary/secondary — that's locationType,95,"Action → pdmTransactionType (when values are 'Term', 'New', 'Add')","Provider Type → pdmTransactionType (values are 'MD', 'DO' — that's practitionerRole)",true
R113,"state code column (2-letter e.g. AL, CA, TX as header)",stateLicenseNumber|stateLicenseIssuingState|skip,column header is exactly a 2-letter US state code AND neighboring columns also have state codes — this is a state license matrix; mark all as skip with note for melt/unpivot transform,header is a state code but values are city names or long text — may be a location column,85,TX (column header in a state license matrix) → skip (needs melt transform),"TX → stateLicenseIssuingState (wrong — it's a column header, not a value)",true
R114,full name|fullname|full_name,firstName|lastName|groupLegalBusinessName,practitioner roster and values look like person names (First Last) — map to firstName but flag as needs split transform,facility roster or values look like organization names — map to facilityName or groupLegalBusinessName,80,Full Name → firstName [needs split transform to extract firstName/lastName],Full Name → groupLegalBusinessName (only if values are org names),true
R115,office languages|languages spoken|languages,practitionerLanguage|groupPracticeLocationLanguage|practitionerPrimaryLanguage,"column refers to languages the practitioner speaks — use practitionerLanguage (multi-value, may need split)",column refers to office/staff languages (not practitioner) — still use practitionerLanguage as no separate office language field exists,78,Office Languages → practitionerLanguage,Office Languages → groupPracticeLocationLanguage (field doesn't exist in schema),true
