source_pattern,forbid_target,reason,example,active
cds date,cliaCertificateExpirationDate,"The source column 'CDS DATE' refers to the expiration date of the practitioner's Controlled Dangerous Substance (CDS) number. The previous guess, 'cliaCertificateExpirationDate', is incorrect because ",CDS DATE -> cliaCertificateExpirationDate,true
city,groupBillingCity,The source column 'CITY' represents the city where the group practice is located. The previous guess was 'groupBillingCity' which is incorrect because the source column refers to the practice location,CITY -> groupBillingCity,true
date certified,practitionerPrimarySpecialtyBoardCertified,"The system guessed practitionerPrimarySpecialtyBoardCertified, but 'Date Certified' refers to a date, not a boolean value indicating board certification status. The closest mapping is 'initialCredenti",Date Certified -> practitionerPrimarySpecialtyBoardCertified,true
dea #,ssn,"The system guessed ssn, but 'DEA #' clearly refers to the Drug Enforcement Administration number assigned to practitioners, not their Social Security Number. Therefore, the correct mapping is 'practit",DEA # -> ssn,true
epsdt,epsdtDate,"The source column 'EPSDT' refers to the Early and Periodic Screening, Diagnostic, and Treatment status. The previous guess of 'epsdtDate' is incorrect because EPSDT represents a status or program part",EPSDT -> epsdtDate,true
practice street address,groupLocationAddressLine1,"Practice Street Address refers to the primary street address of the practice location. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is gro",Practice Street Address -> groupLocationAddressLine1,true
group npi # 2,groupNpi,The source column 'Group NPI # 2' most likely represents the NPI of a specific practice location within the group. The previous mapping incorrectly identified this as 'groupNpi'. The correct mapping i,Group NPI # 2 -> groupNpi,true
group npi # 3,groupNpi,The source column 'Group NPI # 3' most likely represents the NPI of a specific practice location within the group. The previous mapping incorrectly identified this as 'groupNpi'. The correct mapping i,Group NPI # 3 -> groupNpi,true
hours of operation,officeHours,The source column 'HOURS OF OPERATION' refers to the times a practitioner is available. The previous mapping incorrectly identified this as 'officeHours'. Since there are specific fields for each day ,HOURS OF OPERATION -> officeHours,true
institution name-intership,educationSchoolName,The source column 'Institution Name-Intership' refers to the name of the institution where the practitioner completed their internship. The previous mapping incorrectly identified this as 'educationSc,Institution Name-Intership -> educationSchoolName,true
ma #,udfStateMaxPanel,The source column 'MA #' refers to the practitioner's Medicaid identification number. The previous mapping incorrectly identified this as 'udfDCMAMaxPanel'. The correct mapping is 'medicaidId' because,MA # -> udfStateMaxPanel,true
md lic #,udfStateMaxPanel,"The source column 'MD LIC #' clearly refers to the practitioner's medical license number. The previous guess, udfMDMAMaxPanel, is incorrect because it is a custom field and not the standard location f",MD LIC # -> udfStateMaxPanel,true
md lic issue date,practitionerPrimarySpecialtyBoardCertificationIssueDate,"The source column 'MD LIC Issue Date' refers to the date when the medical license was issued. The previous guess, practitionerPrimarySpecialtyBoardCertificationIssueDate, is incorrect because it refer",MD LIC Issue Date -> practitionerPrimarySpecialtyBoardCertificationIssueDate,true
npi #,facilityNpi,"The source column 'NPI #' refers to the practitioner's National Provider Identifier. The previous guess, facilityNpi, is incorrect because it refers to the NPI of a facility, not the practitioner. The",NPI # -> facilityNpi,true
phone number,acceptingMaximumPatientAge,"The source column 'Phone Number' most likely refers to the phone number of the practice location. The previous guess, acceptingMaximumPatientAge, is incorrect because it refers to the maximum age of p",Phone Number -> acceptingMaximumPatientAge,true
primary practice location,groupPracticeLocationPrimaryPracticeLimitation,The source column 'PRIMARY PRACTICE LOCATION' clearly refers to the address of the practice location. The previous guess of 'groupPracticeLocationPrimaryPracticeLimitation' is incorrect because it rel,PRIMARY PRACTICE LOCATION -> groupPracticeLocationPrimaryPracticeLimitation,true
print in directory,includeGroupInDirectory,The source column 'Print in Directory' indicates whether the provider's information should be included in a directory. The previous guess of 'includeGroupInDirectory' is incorrect because it refers to,Print in Directory -> includeGroupInDirectory,true
reappointment date,groupPracticeLocationAppointmentPhone,"The source column 'ReAppointment Date' refers to the date when a provider's credentials were re-evaluated and approved. The previous guess, 'groupPracticeLocationAppointmentPhone', is incorrect becaus",ReAppointment Date -> groupPracticeLocationAppointmentPhone,true
state,epsdtState,"The source column 'STATE' refers to the state in which the group practice is located. The previous guess, 'epsdtState', is incorrect because the state refers to the location of the group practice, not",STATE -> epsdtState,true
state medical  license held,providerLicenseState,"The source column 'State Medical License Held' refers to the state that issued the provider's medical license. The previous guess, 'providerLicenseState', is incorrect because it is too generic. The c",State Medical  License Held -> providerLicenseState,true
status,contractStatus,The source column 'Status' likely refers to the status of the provider's affiliation with a primary hospital. The previous guess of 'contractStatus' is incorrect because it refers to the status of a c,Status -> contractStatus,true
tax id#,acceptingMaximumPatientAge,"The source column 'TAX ID#' represents the Tax Identification Number for a group or organization. The previous mapping to 'acceptingMaximumPatientAge' is incorrect because a TIN is an identifier, not ",TAX ID# -> acceptingMaximumPatientAge,true
title,title,"The source column 'TITLE' refers to the professional title of a provider (e.g., MD, DO). The previous mapping to 'title' is incorrect because 'title' is not a valid schema. The correct schema is 'prov",TITLE -> title,true
year,primarySpecialtyIssueYear,The source column 'YEAR' represents the year the provider attended a certain education program. The previous mapping to 'primarySpecialtyIssueYear' is incorrect because it refers to the year the speci,YEAR -> primarySpecialtyIssueYear,true
zip code,groupLocationZip,The source column 'ZIP CODE' represents the zip code of the group practice location. The correct schema is 'groupPracticeLocationZip'.,ZIP CODE -> groupLocationZip,true
action/ effective date / change or term reason,practitionerLocationChangeEffectiveDate,"The source column 'ACTION/ EFFECTIVE DATE / CHANGE OR TERM REASON' refers to the date when a specific action, change, or termination becomes effective. The system incorrectly guessed practitionerLocat",ACTION/ EFFECTIVE DATE / CHANGE OR TERM REASON -> practitionerLocationChangeEffectiveDate,true
"address in directory
y/n",includeGroupInDirectory,"The source column 'Address in Directory Y/N' indicates whether the provider's address should be included in a directory. The system incorrectly guessed includeGroupInDirectory, which refers to whether","Address in Directory
Y/N -> includeGroupInDirectory",true
billing fax,billingGroupName,"The source column 'Billing Fax' refers to the fax number used for billing-related communications. The system incorrectly guessed billingGroupName, which is the name of the billing group, not the fax n",Billing Fax -> billingGroupName,true
billing phone,billingGroupName,"The source column 'Billing Phone' refers to the phone number used for billing-related communications. The system incorrectly guessed billingGroupName, which is the name of the billing group, not the p",Billing Phone -> billingGroupName,true
billing street address,billingGroupName,"The source column 'Billing Street Address' refers to the street address used for billing purposes. The system incorrectly guessed billingGroupName, which is the name of the billing group, not the addr",Billing Street Address -> billingGroupName,true
billing zip code,billingGroupName,"The source column 'Billing Zip Code' refers to the zip code for the billing address. The system incorrectly guessed billingGroupName, which is the name of the billing group, not the zip code. The corr",Billing Zip Code -> billingGroupName,true
board name 1,practitionerPrimarySpecialtyBoardCertificationExpirationDate,The source column 'Board Name 1' refers to the name of the board that certified the provider in their primary specialty. The system incorrectly guessed practitionerPrimarySpecialtyBoardCertificationEx,Board Name 1 -> practitionerPrimarySpecialtyBoardCertificationExpirationDate,true
caqh,practitionerCaqhAttestationDate,"The source column 'CAQH' refers to the Council for Affordable Quality Healthcare ID, a unique identifier for healthcare providers. The system incorrectly guessed 'practitionerCaqhAttestationDate', whi",CAQH -> practitionerCaqhAttestationDate,true
county,groupBillingCounty,"The source column 'County' refers to the county in which the practice is located. The system incorrectly guessed 'groupBillingCounty', which refers to the county of the billing address, not the practi",County -> groupBillingCounty,true
dba practice name,groupLocationAddressLine1,"The source column 'DBA Practice Name' refers to the 'Doing Business As' name of the practice. The system incorrectly guessed 'groupLocationAddressLine1', which is the first line of the practice's phys",DBA Practice Name -> groupLocationAddressLine1,true
dea license 1,providerLicenseState,"The source column 'DEA License 1' refers to the provider's DEA (Drug Enforcement Administration) license number. The system incorrectly guessed 'providerLicenseState', which represents the state where",DEA License 1 -> providerLicenseState,true
eff date,cliaCertificateExpirationDate,"The source column 'EFF DATE' refers to the effective date of the provider's association with the group or practice. The system incorrectly guessed 'cliaCertificateExpirationDate', which is the expirat",EFF DATE -> cliaCertificateExpirationDate,true
foreign language,practitionerAdditionalLanguage,"The source column 'Foreign Language' refers to a language spoken by the provider other than their primary language. The system incorrectly guessed 'practitionerAdditionalLanguage', which is a valid at",Foreign Language -> practitionerAdditionalLanguage,true
gender restrictions,gender,"The source column 'Gender Restrictions' refers to any gender-based restrictions on the patients that the provider or location will accept. The system incorrectly guessed 'gender', which is the provide",Gender Restrictions -> gender,true
graduation date mm/dd,cliaCertificateExpirationDate,"The source column 'Graduation date MM/DD' refers to the date the practitioner graduated from their medical or professional school. The system incorrectly guessed 'cliaCertificateExpirationDate', which",Graduation date MM/DD -> cliaCertificateExpirationDate,true
hospital affiliation 1,credentialingAffiliation,"The source column 'Hospital Affiliation 1' refers to the provider's primary hospital affiliation. The system incorrectly guessed 'credentialingAffiliation', which is a general term for credentialing-r",Hospital Affiliation 1 -> credentialingAffiliation,true
hospital based?   y/n,isHospitalBased,"The source column 'Hospital Based? Y/N' indicates the practitioner's role or affiliation within a hospital setting. The system incorrectly mapped it to 'isHospitalBased', which is a boolean flag. The ",Hospital Based?   Y/N -> isHospitalBased,true
last cred date,cliaCertificateExpirationDate,"The source column 'Last Cred Date' represents the most recent date the practitioner's credentials were reviewed and approved. The system incorrectly mapped it to 'cliaCertificateExpirationDate', which",Last Cred Date -> cliaCertificateExpirationDate,true
liability coverage amts,locationCallCoveragePhone,The source column 'Liability Coverage Amts' refers to the amount of liability coverage the practitioner has. The system incorrectly mapped it to 'locationCallCoveragePhone' which is a phone number. Th,Liability Coverage Amts -> locationCallCoveragePhone,true
liability effective date,contractEffectiveDate,"The source column 'Liability Effective Date' refers to the date when the practitioner's liability insurance coverage became effective. The system incorrectly mapped it to 'contractEffectiveDate', whic",Liability Effective Date -> contractEffectiveDate,true
license expir date 1,providerLicenseState,"The source column 'License Expir Date 1' refers to the expiration date of the practitioner's state license. The system incorrectly guessed 'providerLicenseState', which is the state where the license ",License Expir Date 1 -> providerLicenseState,true
license state 1,providerLicenseState,"The source column 'License State 1' refers to the state that issued the practitioner's license. The system incorrectly guessed 'providerLicenseState', which is too generic. 'stateLicenseIssuingState' ",License State 1 -> providerLicenseState,true
mailing  zip code,groupLocationZip,"Mailing  Zip Code represents the zip of the address where correspondence is sent to the provider. The system incorrectly guessed groupLocationZip, which is the zip of the group practice Location. Beca",Mailing  Zip Code -> groupLocationZip,true
mailing city,groupBillingCity,"Mailing City represents the city where correspondence is sent to the provider. The system incorrectly guessed groupBillingCity, which is the city used for billing purposes, not general correspondence.",Mailing City -> groupBillingCity,true
mailing state,epsdtState,"Mailing State represents the state where correspondence is sent to the provider. The system incorrectly guessed epsdtState, which is the state for Early and Periodic Screening, Diagnostic and Treatmen",Mailing State -> epsdtState,true
mailingstreet address,billingGroupName,"MailingStreet Address represents the primary address line where correspondence is sent to the provider. The system incorrectly guessed billingGroupName, which is the name of the billing group. Because",MailingStreet Address -> billingGroupName,true
next cred date,cliaCertificateExpirationDate,"Next Cred Date refers to the date when the practitioner's next credentialing is due. The system incorrectly guessed cliaCertificateExpirationDate, which is the expiration date for a CLIA certificate, ",Next Cred Date -> cliaCertificateExpirationDate,true
pcp spc,pcp,"PCP SPC likely refers to whether the practitioner is a Primary Care Physician (PCP) or a Specialist (SPC), indicating their role. The system incorrectly guessed pcp, which is a boolean (yes/no) field.",PCP SPC -> pcp,true
practice city,groupLocationAddressLine1,"Practice City refers to the city where the practice is located. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is groupPracticeLocationCity,",Practice City -> groupLocationAddressLine1,true
practice fax,groupLocationAddressLine1,"Practice Fax refers to the fax number of the practice location. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is groupPracticeLocationFax, ",Practice Fax -> groupLocationAddressLine1,true
practice state,groupLocationAddressLine1,"Practice State refers to the state where the practice is located. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is groupPracticeLocationSta",Practice State -> groupLocationAddressLine1,true
practice zip code,groupLocationAddressLine1,"Practice Zip Code refers to the zip code of the practice location. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is groupPracticeLocationZi",Practice Zip Code -> groupLocationAddressLine1,true
primary location,acceptingMaximumPatientAge,"The source column 'Primary Location' refers to the main location where the healthcare provider practices. The system incorrectly guessed acceptingMaximumPatientAge, which relates to patient age restri",Primary Location -> acceptingMaximumPatientAge,true
primary practice hours,groupLocationAddressLine1,"The source column 'Primary Practice Hours' refers to the typical operating hours of the provider's primary practice location. The system incorrectly guessed groupLocationAddressLine1, which is a physi",Primary Practice Hours -> groupLocationAddressLine1,true
primary practice phone,groupLocationAddressLine1,"The source column 'Primary Practice Phone' refers to the main phone number for the practice location. The system incorrectly guessed groupLocationAddressLine1, which is a general address field. The co",Primary Practice Phone -> groupLocationAddressLine1,true
recred date,cliaCertificateExpirationDate,"The source column 'Recred Date' refers to the date when the healthcare provider's recredentialing is due. The system incorrectly guessed cliaCertificateExpirationDate, which is related to a lab's cert",Recred Date -> cliaCertificateExpirationDate,true
"spec in directory 
y/n",includeGroupInDirectory,"The source column 'SPEC IN DIRECTORY Y/N' indicates whether the practitioner's specialty should be included in the directory. The system incorrectly guessed includeGroupInDirectory, which refers to th","SPEC IN DIRECTORY 
Y/N -> includeGroupInDirectory",true
supervising physician's specialty for np/pa,supervisingPractitionerFirstName,The source column 'Supervising Physician's Specialty for NP/PA' refers to the specialty of the physician who supervises a Nurse Practitioner (NP) or Physician Assistant (PA). The system incorrectly gu,Supervising Physician's Specialty for NP/PA -> supervisingPractitionerFirstName,true
taxonomy 1,groupSpecialtyTaxonomy,"The source column 'Taxonomy 1' refers to the primary taxonomy code of the healthcare provider. The system incorrectly guessed groupSpecialtyTaxonomy, which is related to the group's specialty. The cor",Taxonomy 1 -> groupSpecialtyTaxonomy,true
taxonomy 2,groupSpecialtyTaxonomy,"The source column 'Taxonomy 2' refers to an additional taxonomy code for the healthcare provider. The system incorrectly guessed groupSpecialtyTaxonomy, which is related to the group's specialty. The ",Taxonomy 2 -> groupSpecialtyTaxonomy,true
taxonomy 3,groupSpecialtyTaxonomy,"The source column 'Taxonomy 3' refers to yet another taxonomy code for the healthcare provider. The system incorrectly guessed groupSpecialtyTaxonomy, which is related to the group's specialty. The co",Taxonomy 3 -> groupSpecialtyTaxonomy,true
type 2 npi,actionType,"The source column 'Type 2 NPI' refers to the National Provider Identifier (NPI) of the group or organization, not an action type. The system incorrectly guessed 'actionType', which describes the type ",Type 2 NPI -> actionType,true
dea expiration,cliaCertificateExpirationDate,"The source column 'DEA Expiration' refers to the expiration date of the provider's DEA (Drug Enforcement Administration) license. The system incorrectly guessed 'cliaCertificateExpirationDate', which ",DEA Expiration -> cliaCertificateExpirationDate,true
graduation date mm/yyyy,epsdtDate,"The source column 'Graduation Date mm/yyyy' refers to the date the provider graduated from their medical education program. The system incorrectly guessed 'epsdtDate', which is related to Early and Pe",Graduation Date mm/yyyy -> epsdtDate,true
license expir date,providerLicenseState,"The source column 'License Expir Date' refers to the date when the practitioner's state license expires. The system incorrectly mapped it to 'providerLicenseState', which is the state where the licens",License Expir Date -> providerLicenseState,true
license state,providerLicenseState,"The source column 'License State' refers to the state that issued the practitioner's license. The system incorrectly mapped it to 'providerLicenseState', which is a generic term. The correct mapping i",License State -> providerLicenseState,true
mailing address 2,billingGroupName,"Mailing Address 2 represents the second line of the address where correspondence is sent to the provider. The system incorrectly guessed billingGroupName, which is the name of the billing group. Becau",Mailing Address 2 -> billingGroupName,true
practice address 2,groupLocationAddressLine1,"Practice Address 2 represents the second line of the practice's street address. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is groupPract",Practice Address 2 -> groupLocationAddressLine1,true
practice url,groupLocationAddressLine1,"Practice URL refers to the website address for the practice. The system incorrectly guessed groupLocationAddressLine1, which is an ambiguous field. The correct mapping is telemedicineURL, as it is the",Practice URL -> groupLocationAddressLine1,true
primarypractice phone,groupLocationAddressLine1,"The source column 'PrimaryPractice Phone' refers to the main phone number for contacting the healthcare provider's practice. The system incorrectly guessed groupLocationAddressLine1, which is a physic",PrimaryPractice Phone -> groupLocationAddressLine1,true
